,content_id,title,content_type_id,area_code,latitude,longitude,addr1,addr2
8645,128817,강화 사기리 탱자나무,12,2,37.6165030596,126.4567228313,인천광역시 강화군 화도면 해안남로1114번길 6,
8666,2612802,강화루지(강화씨사이드리조트),12,2,37.6171759306,126.4981273568,인천광역시 강화군 길상면 장흥로 217,(길상면)
8675,947611,개항장 거리,12,2,37.4729365453,126.621006246,인천광역시 중구 제물량로232번안길 27,(중앙동2가)
8691,1620625,계룡돈대,12,2,37.723527666,126.3538237336,인천광역시 강화군 내가면 황청리,
8706,2765276,교동도선착장대합실,12,2,37.77496824,126.3170728993,인천광역시 강화군 교동면 교동남로 466,
8708,2657249,교동제비집,12,2,37.781391829,126.2792873012,인천광역시 강화군 교동면 교동남로 20-1,
8709,1953948,교동향교,12,2,37.7745679477,126.2976774693,인천광역시 강화군 교동면 교동남로 229-49,
8711,3078309,국립무의도자연휴양림,12,2,37.388567699,126.4126914722,인천광역시 중구 하나개로 74 (무의동),
8712,1945647,국사봉(인천),12,2,37.3915951817,126.4159494251,인천광역시 중구 무의동,
8713,2664757,국자와 주걱,12,2,37.6533707805,126.4450284343,인천광역시 강화군 양도면 강화남로428번길 46-27,
8714,2718884,국제 롤러스케이트장,12,2,37.5336606539,126.655743053,인천광역시 서구 청라에메랄드로 99,(청라동) 3층
8715,1032715,굴업도,12,2,37.1973520849,125.990807372,인천광역시 옹진군 덕적면 굴업리,
8718,2847546,금풍양조장,12,2,37.6386205364,126.4913773782,인천광역시 강화군 삼랑성길 8,
8726,2768199,낭하리해변,12,2,37.2411451345,126.526662893,인천광역시 옹진군 영흥면 선재리 430-90,
8737,2767888,달빛축제공원,12,2,37.3953434658,126.6597659732,인천광역시 연수구 송도동 1,(송도동)
8749,2606297,덕적군도,12,2,37.1706405843,126.1117803784,인천광역시 옹진군 덕적면 문갑리,
8753,2537187,도래미마을,12,2,37.7152063663,126.5091208399,인천광역시 강화군 선원면 해안동로 1129-19,
8760,2767760,드림파크 주민체육공원,12,2,37.5855043289,126.6391625652,인천광역시 서구 왕길동 581-15,
8768,2765301,망월돈대 및 장성,12,2,37.7416894626,126.3553786415,인천광역시 강화군 하점면 망월리 2107번지,
8776,1620640,무태돈대,12,2,37.7716276295,126.3550778364,인천광역시 강화군 하점면 창후로,
8789,125505,백령도,12,2,37.9644571889,124.6766833179,인천광역시 옹진군 백령면 북포리,
8791,561002,백령도 콩돌해변,12,2,37.9234068099,124.6980823945,인천광역시 옹진군 백령면,
8804,2768190,부평역북광장,12,2,37.4905335508,126.7244907601,인천광역시 부평구 광장로 30,(부평동)
8808,2932005,분바위와 월띠,12,2,37.7727698198,124.7515952162,인천광역시 옹진군 대청면 소청리,
8821,2767590,서곶근린공원,12,2,37.5467179172,126.6811320367,인천광역시 서구 심곡로 151,(심곡동)
8835,129605,선녀바위,12,2,37.4396528391,126.3789681524,인천광역시 중구 용유로380번길 21,
8854,2767886,송도 도그파크,12,2,37.4079442991,126.632476445,인천광역시 연수구 센트럴로 350,(송도동)
